Filename	LLM_EP0902
Instrument name	DSC2A-01799 (192.168.1.250)
Operator	
rundate	14/04/2025
Sample name	LLM_EP0902
proceduresegments	Ramp 10.00 °C/min to 25.00 °C; Ramp 10.00 °C/min to 135.00 °C; Isothermal 5.0 min; Ramp 10.00 °C/min to -50.00 °C; Isothermal 5.0 min; Ramp 10.00 °C/min to 200.00 °C; Isothermal 5.0 min; Ramp 10.00 °C/min to -50.00 °C; Isothermal 5.0 min; Ramp 10.00 °C/min to 200.00 °C; Isothermal 5.0 min; Ramp 10.00 °C/min to -50.00 °C
[step]
Ramp 10.00 °C/min to 25.0000 °C
Time	Temperature	Heat Flow (Normalized)
min	°C	W/g
1.36	36.69	-0.091
1.36	36.71	-0.091
1.36	36.73	-0.091
1.36	36.74	-0.091
1.36	36.76	-0.091
1.36	36.78	-0.091
1.37	36.79	-0.091
1.37	36.81	-0.091
1.37	36.83	-0.091
1.37	36.84	-0.091
1.37	36.86	-0.091
1.37	36.88	-0.091
1.38	36.89	-0.091
1.38	36.91	-0.091
1.38	36.93	-0.091
1.38	36.94	-0.091
1.38	36.96	-0.091
1.38	36.98	-0.091
1.38	36.99	-0.091
1.39	37.01	-0.091
1.39	37.03	-0.091
1.39	37.04	-0.091
1.39	37.06	-0.091
1.39	37.08	-0.091
1.39	37.09	-0.091
1.40	37.11	-0.091
1.40	37.13	-0.091
1.40	37.14	-0.091
1.40	37.16	-0.091
1.40	37.18	-0.091
1.41	37.19	-0.091
1.41	37.21	-0.091
1.41	37.23	-0.091
1.41	37.24	-0.091
1.41	37.26	-0.091
1.41	37.28	-0.091
1.42	37.29	-0.091
1.42	37.31	-0.091
1.42	37.33	-0.091
1.42	37.34	-0.091
1.42	37.36	-0.091
1.42	37.38	-0.092
1.43	37.40	-0.092
1.43	37.41	-0.092
1.43	37.43	-0.092
1.43	37.44	-0.092
1.43	37.46	-0.092
1.43	37.48	-0.092
1.43	37.49	-0.092
1.44	37.51	-0.092
1.44	37.53	-0.092
1.44	37.54	-0.092
1.44	37.56	-0.092
1.44	37.58	-0.092
1.44	37.59	-0.092
1.45	37.61	-0.092
1.45	37.63	-0.092
1.45	37.64	-0.092
1.45	37.66	-0.092
1.45	37.68	-0.092
1.46	37.69	-0.092
1.46	37.71	-0.092
1.46	37.73	-0.092
1.46	37.75	-0.092
1.46	37.76	-0.092
1.46	37.78	-0.092
1.47	37.79	-0.092
1.47	37.81	-0.092
1.47	37.83	-0.092
1.47	37.85	-0.092
1.47	37.86	-0.092
1.47	37.88	-0.092
1.48	37.89	-0.092
1.48	37.91	-0.092
1.48	37.93	-0.092
1.48	37.94	-0.093
1.48	37.96	-0.093
1.48	37.98	-0.093
1.48	38.00	-0.093
1.49	38.01	-0.093
1.49	38.03	-0.093
1.49	38.04	-0.093
1.49	38.06	-0.093
1.49	38.08	-0.093
1.49	38.09	-0.093
1.50	38.11	-0.093
1.50	38.13	-0.093
1.50	38.15	-0.093
1.50	38.16	-0.093
1.50	38.18	-0.093
