Filename	LLM_EP10_Cur
Instrument name	DSC2A-01799 (192.168.1.250)
Operator	
rundate	15/05/2025
Sample name	LLM_EP10_Cur
proceduresegments	Ramp 10.00 °C/min to 25.00 °C; Ramp 10.00 °C/min to 135.00 °C; Isothermal 5.0 min; Ramp 10.00 °C/min to -50.00 °C; Isothermal 5.0 min; Ramp 10.00 °C/min to 200.00 °C; Isothermal 5.0 min; Ramp 10.00 °C/min to -50.00 °C; Isothermal 5.0 min; Ramp 10.00 °C/min to 200.00 °C; Isothermal 5.0 min; Ramp 10.00 °C/min to -50.00 °C
[step]
Ramp 10.00 °C/min to 25.0000 °C
Time	Temperature	Heat Flow (Normalized)
min	°C	W/g
0.62	29.53	-0.174
0.62	29.54	-0.173
0.62	29.56	-0.173
0.62	29.58	-0.173
0.63	29.59	-0.173
0.63	29.61	-0.173
0.63	29.63	-0.173
0.63	29.64	-0.173
0.63	29.66	-0.172
0.63	29.68	-0.172
0.63	29.70	-0.172
0.64	29.71	-0.172
0.64	29.73	-0.171
0.64	29.75	-0.171
0.64	29.76	-0.171
0.64	29.78	-0.170
0.65	29.80	-0.170
0.65	29.81	-0.170
0.65	29.83	-0.170
0.65	29.85	-0.169
0.65	29.86	-0.169
0.65	29.88	-0.169
0.65	29.90	-0.169
0.66	29.91	-0.169
0.66	29.93	-0.169
0.66	29.95	-0.169
0.66	29.97	-0.169
0.66	29.98	-0.169
0.67	30.00	-0.169
0.67	30.02	-0.168
0.67	30.03	-0.168
0.67	30.05	-0.167
0.67	30.07	-0.167
0.67	30.08	-0.166
0.68	30.10	-0.166
0.68	30.12	-0.167
0.68	30.13	-0.167
0.68	30.15	-0.167
0.68	30.17	-0.167
0.68	30.18	-0.167
0.68	30.20	-0.167
0.69	30.22	-0.167
0.69	30.23	-0.167
0.69	30.25	-0.167
0.69	30.27	-0.166
0.69	30.28	-0.166
0.70	30.30	-0.165
0.70	30.32	-0.165
0.70	30.34	-0.164
0.70	30.35	-0.164
0.70	30.37	-0.164
0.70	30.38	-0.163
0.70	30.40	-0.163
0.71	30.42	-0.163
0.71	30.43	-0.163
0.71	30.45	-0.163
0.71	30.47	-0.163
0.71	30.48	-0.163
0.72	30.50	-0.163
0.72	30.52	-0.163
0.72	30.54	-0.163
0.72	30.55	-0.163
0.72	30.57	-0.163
0.72	30.59	-0.163
0.73	30.60	-0.163
0.73	30.62	-0.163
0.73	30.64	-0.163
0.73	30.65	-0.162
0.73	30.67	-0.162
0.73	30.69	-0.162
0.73	30.70	-0.162
0.74	30.72	-0.162
0.74	30.74	-0.162
0.74	30.75	-0.162
0.74	30.77	-0.161
0.74	30.79	-0.161
0.75	30.80	-0.161
0.75	30.82	-0.161
0.75	30.84	-0.161
0.75	30.85	-0.161
0.75	30.87	-0.161
0.75	30.89	-0.161
0.75	30.90	-0.161
0.76	30.92	-0.160
0.76	30.93	-0.160
0.76	30.95	-0.160
0.76	30.97	-0.160
0.76	30.99	-0.160
0.77	31.00	-0.160
0.77	31.02	-0.160
0.77	31.04	-0.160
0.77	31.05	-0.160
0.77	31.07	-0.160
0.77	31.09	-0.160
0.78	31.10	-0.160
0.78	31.12	-0.160
0.78	31.14	-0.160
0.78	31.15	-0.160
0.78	31.17	-0.160
0.78	31.19	-0.159
0.78	31.20	-0.159
0.79	31.22	-0.159
0.79	31.24	-0.159
0.79	31.25	-0.158
0.79	31.27	-0.158
0.79	31.29	-0.158
0.80	31.30	-0.158
0.80	31.32	-0.158
0.80	31.34	-0.158
0.80	31.35	-0.158
0.80	31.37	-0.158
0.80	31.39	-0.158
0.80	31.40	-0.158
0.81	31.42	-0.158
0.81	31.44	-0.158
0.81	31.45	-0.158
0.81	31.47	-0.158
0.81	31.49	-0.157
0.82	31.50	-0.157
0.82	31.52	-0.157
0.82	31.54	-0.157
0.82	31.55	-0.157
0.82	31.57	-0.157
0.82	31.59	-0.157
0.83	31.60	-0.157
0.83	31.62	-0.157
0.83	31.64	-0.157
0.83	31.65	-0.157
0.83	31.67	-0.157
0.83	31.69	-0.156
0.83	31.70	-0.156
